customer_id,first_name,last_name,email,phone_number,city,state,country,signup_date,is_active
1,David,Wright,elong@arnold.com,3147646185,Mcclainfurt,CO,British Indian Ocean Territory (Chagos Archipelago),2024-10-10,False
2,Deborah,Curry,mathewscory@hotmail.com,9069715189,New Keithview,SC,French Southern Territories,2023-07-13,True
3,Richard,Carroll,kimberlyscott@yahoo.com,9121914355,Amyfurt,AK,Rwanda,2022-01-09,True
4,James,Cohen,tlopez@hicks.com,3943746317,New Danielton,VT,Cyprus,2020-06-14,False
5,Maureen,Jacobs,lauramccall@gmail.com,4907899359,Taylorstad,OR,Maldives,2024-02-01,False
6,Karen,Berry,murphyjavier@hotmail.com,0001575188,Ingramshire,AL,Libyan Arab Jamahiriya,2022-08-22,True
7,Mary,Solis,kiddcraig@gmail.com,0221831528,West Johnny,NY,Bahamas,2021-09-22,True
8,Andrea,Moore,rossdorothy@dominguez.com,0538836159,Lisaport,UT,Guatemala,2024-06-10,True
9,Courtney,Miller,michaellee@pitts.biz,2488466117,Lake Markfurt,NC,Saint Kitts and Nevis,2021-10-21,True
10,Brandon,Johnson,curryjohn@yahoo.com,8283360403,Lake Jillbury,CA,Iceland,2024-07-30,True
11,Raymond,Griffith,frussell@white.biz,7428480724,Port Christineport,MS,Moldova,2025-05-19,True
12,Nicholas,Frank,susan30@hotmail.com,4114450310,Brandtbury,MO,Palau,2022-08-04,True
13,Christopher,Hill,jessicaclark@yahoo.com,7567780544,West Haroldshire,IN,Vanuatu,2024-01-17,True
14,Leslie,Roberts,lisa80@yahoo.com,9021615877,Leblancbury,ME,Qatar,2021-01-21,False
15,Andrew,Pacheco,vfrederick@hotmail.com,1206256111,East Sandraview,LA,Burundi,2021-07-20,True
16,Ricardo,Murphy,henry87@hotmail.com,7992537523,Ballton,KY,Montserrat,2023-12-11,False
17,Katherine,Porter,john60@gmail.com,5373607918,North Timothystad,NM,Macao,2025-04-04,False
18,Teresa,Ho,kathy91@allen-johnson.com,6833199954,Kelleymouth,NM,Honduras,2021-10-16,True
19,Haley,Reid,evangraham@george.com,0852558433,Wisestad,AL,Seychelles,2024-02-27,True
20,Nancy,Wilson,emmashepherd@yahoo.com,7584959982,Port Cassandra,NM,New Caledonia,2023-09-02,False
21,Natasha,Mcdowell,edward79@gmail.com,1525090045,Port Tylershire,MO,Saint Vincent and the Grenadines,2022-10-24,False
22,Joshua,Allen,wendypatterson@wells-roberts.com,8432348419,Lake Destiny,TX,Nauru,2022-07-23,False
23,Edward,Welch,vperez@yahoo.com,0749770735,Lake Ashleyport,LA,Cocos (Keeling) Islands,2022-04-13,False
24,Teresa,Hart,djimenez@cochran.com,7000869858,Tannerland,OH,Costa Rica,2022-08-30,True
25,Janice,Baker,mjacobs@hotmail.com,5374062620,Carterburgh,VT,Jordan,2021-03-25,True
26,Keith,Colon,muellerjoan@hotmail.com,6927702656,North William,MN,Norfolk Island,2020-10-26,False
27,Shelby,Bailey,leelaura@castillo.com,5566769434,North Andrew,DC,Taiwan,2020-07-21,True
28,Mercedes,Weaver,tammytucker@gardner.com,3739348876,North Heather,CO,Mali,2024-04-02,False
29,Michael,Jacobs,millerdawn@bailey-cardenas.net,5494161298,Watsonburgh,TN,Swaziland,2021-10-13,True
30,Patrick,Mendoza,jasonle@kennedy-smith.com,7482857554,North Savannahchester,FL,Panama,2021-10-27,False
31,Jeffrey,Curtis,jessicathomas@hotmail.com,6103157378,Lesterchester,PA,Latvia,2024-07-01,True
32,David,Williams,zle@flynn.com,1053886310,Huntville,LA,Korea,2023-01-23,False
33,Judith,Gonzalez,martinezchristine@yahoo.com,9661171614,Aprilshire,MO,Hungary,2021-12-03,True
34,Scott,Thompson,qbrewer@evans.com,7420292078,Summersshire,ME,Romania,2023-03-05,False
35,Brittany,Brown,daniel51@hernandez.com,3526609871,Brianhaven,IA,United States Virgin Islands,2023-09-22,True
36,Jesse,Rose,jacquelinefleming@nelson.com,6203430540,Vazqueztown,MI,Bolivia,2023-07-12,False
37,Wendy,Gonzales,marcusalvarez@sanders.com,9324650627,East Taylor,NY,Turks and Caicos Islands,2022-04-28,True
38,William,Jensen,grosscarrie@white.com,7059460221,Robinsonchester,OR,Gabon,2023-12-18,True
39,Samuel,Mitchell,lisa85@yahoo.com,7762828733,East Lawrence,DE,Central African Republic,2023-08-01,True
40,Joe,Rice,changmichael@hotmail.com,7506530166,South Alisonchester,WA,Belize,2023-07-02,True
41,Kayla,Oconnor,rclark@gmail.com,5886888854,East Jamiehaven,NE,Niger,2025-03-12,True
42,John,Lee,kirbyveronica@hicks.com,3454071710,Andradeville,OK,Romania,2021-12-10,False
43,Katrina,Reynolds,troysoto@pena.net,8362029612,East Savannah,MA,Lao People's Democratic Republic,2021-11-20,True
44,Charles,Davidson,elizabethjones@yahoo.com,3331399916,West Jason,WI,Palestinian Territory,2025-01-04,False
45,Alexis,Ward,christopherbutler@mendez.com,8074506455,West Samuel,KY,Botswana,2022-05-22,False
46,Martin,Rasmussen,nicholasclark@hotmail.com,1051993573,Lake Adam,WI,Greenland,2021-11-13,True
47,Michelle,Walker,jessicacastillo@gmail.com,5482385429,Vanessahaven,KY,Benin,2023-07-11,False
48,Heather,Wilson,carlos99@gmail.com,3870679094,Williamborough,TX,Andorra,2022-05-14,False
49,Kim,Palmer,gutierrezderrick@lowery-vazquez.com,5395869516,Port Jenniferfort,MS,Cyprus,2023-07-07,True
50,Erik,Hubbard,william44@gmail.com,0841405087,Waynefort,LA,San Marino,2021-02-07,True
51,James,Rivera,rodriguezalicia@gmail.com,8936665338,Jacksonview,ME,Hong Kong,2024-11-06,True
52,Kristie,Ayers,ymoses@gmail.com,6576682142,Adamsshire,KS,Anguilla,2023-06-26,False
53,Robert,Grant,sheilaanderson@carroll.com,6626275355,Thompsonshire,DC,Spain,2024-04-04,False
54,Kayla,Martinez,jongibson@hotmail.com,6874266717,Brianfurt,SC,Denmark,2021-10-26,False
55,Tiffany,Morgan,lgay@hotmail.com,8987057032,East Cynthia,VA,Saint Lucia,2020-12-15,True
56,Kenneth,Dougherty,kathleenmyers@yahoo.com,7021828448,Troyfort,NE,Netherlands,2022-07-13,False
57,Aaron,Sanchez,hebertashley@king.com,1288007279,New Jamesfort,HI,Palau,2022-06-07,False
58,Jill,Johnson,charlesbernard@mckinney.com,9039232551,West Erinfort,LA,Samoa,2024-07-07,False
59,Kathryn,Guzman,bonnie97@gmail.com,0776297888,Dawnside,VT,Mexico,2021-03-22,True
60,Pamela,Williams,grimescody@yahoo.com,6940403757,Lake Christopher,ID,Japan,2021-09-20,False
61,Jared,Larson,jason12@sanders.info,1724965720,Michaelview,ID,Latvia,2021-10-03,True
62,Jason,Williams,pmcmillan@thomas.biz,8252699856,New Benjaminburgh,RI,Bouvet Island (Bouvetoya),2022-08-13,True
63,Dominique,Jacobson,joseph34@matthews.com,1358028088,Lake Joshua,WA,Iraq,2022-05-09,False
64,Angela,Allen,adelacruz@hotmail.com,6770775440,Lake Laura,MN,Greece,2022-08-23,False
65,Mark,Lopez,paul03@benitez.biz,6592227076,West Daniel,MS,Serbia,2022-08-28,False
66,Sheila,Thompson,alexanderbuchanan@hotmail.com,0860806090,Petersonmouth,MI,Botswana,2024-11-24,False
67,Carlos,Nelson,xsanchez@payne.com,3097765958,South Michaelside,IL,Uruguay,2025-05-06,False
68,Denise,Allen,xmalone@barrett.biz,3970333523,Port Thomasshire,TX,Canada,2020-10-23,False
69,Jacob,Price,nguyenbrian@webb.info,8857063126,Lake Stephanie,NV,Kyrgyz Republic,2023-04-09,False
70,Stephanie,Thornton,carolyn45@holt-tanner.com,5905799811,Teresaview,RI,United States of America,2020-07-25,True
71,Marie,Atkinson,gabriellefitzgerald@gmail.com,7688101875,West Eric,UT,Iran,2021-09-26,False
72,Joseph,Walker,taylordaniel@hotmail.com,8996082265,Wrightport,ND,Lao People's Democratic Republic,2023-04-16,False
73,Barbara,Thompson,amandagonzales@gmail.com,2829968831,Michellehaven,KY,Cape Verde,2025-01-07,True
74,Teresa,Gordon,anthony52@hotmail.com,4711938424,Hollyview,AK,French Polynesia,2023-10-12,False
75,Jamie,Jones,deborahcox@yahoo.com,7468845438,Wiseton,AK,Yemen,2024-02-10,False
76,Michelle,Gonzales,banksdanielle@bentley.net,0378161943,New Chad,AZ,Argentina,2025-03-25,False
77,Laura,Ramirez,gfreeman@wilkins.com,0150730349,Brookeside,AZ,Costa Rica,2023-05-25,True
78,Susan,Miller,richardoconnell@hotmail.com,6415399341,Danashire,UT,Somalia,2024-08-15,False
79,Hunter,Anderson,valerie96@garcia-ellis.com,1638993029,East Janet,VT,Finland,2025-05-06,False
80,Michael,Warren,eddieholland@hotmail.com,4302621981,Cherylport,MI,Macedonia,2023-12-16,False
81,Ryan,Bradley,mitchellcook@smith.org,5790811556,North Isabellahaven,GA,Belgium,2025-03-08,False
82,Crystal,Parsons,michelejones@hotmail.com,2121068286,North Jasonbury,KY,Slovenia,2020-06-29,False
83,Caroline,Miller,johnstonjeffrey@yahoo.com,6801713381,North Michael,WV,Saint Lucia,2023-10-10,True
84,James,Owen,alexisperez@gmail.com,2923895894,Johnton,DC,Tajikistan,2023-05-30,False
85,Henry,Flores,matthew85@hotmail.com,0946438765,Port Jefferystad,AK,Brunei Darussalam,2020-06-15,False
86,Tina,Smith,hayleysantiago@gmail.com,6280049170,Lake Travismouth,NH,Peru,2021-11-07,True
87,Yvonne,Adams,wagnertimothy@gmail.com,4770430447,Ashleyland,HI,Turks and Caicos Islands,2024-06-07,True
